utc_datetime,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,updated_at,price_increase
2023-07-04 11:18:00,1970-01-01 00:28:08.469480,31006.23,31010.34,31002.89,31002.89,21.25408,1970-01-01 00:28:08.469539999,659059.4037604,437,7.09355,219952.7600636,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:17:00,1970-01-01 00:28:08.469420,31000.74,31006.23,31000.73,31006.23,17.35267,1970-01-01 00:28:08.469479999,537963.3180557,569,14.45789,448220.0020628,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:16:00,1970-01-01 00:28:08.469360,31000.74,31000.74,31000.73,31000.74,3.97773,1970-01-01 00:28:08.469419999,123312.5476923,264,1.39494,43244.1722556,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:15:00,1970-01-01 00:28:08.469300,31008.01,31008.01,31000.73,31000.73,9.64686,1970-01-01 00:28:08.469359999,299099.2714306,350,2.57901,79957.4103154,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:14:00,1970-01-01 00:28:08.469240,31008.01,31008.01,31008.0,31008.01,5.25482,1970-01-01 00:28:08.469299999,162941.4827149,173,2.41549,74899.5380749,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:13:00,1970-01-01 00:28:08.469180,31008.01,31008.01,31008.0,31008.0,7.41504,1970-01-01 00:28:08.469239999,229925.5733489,246,1.30289,40400.0261489,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:12:00,1970-01-01 00:28:08.469120,31008.01,31008.01,31008.0,31008.0,1.88321,1970-01-01 00:28:08.469179999,58394.5835986,227,0.79186,24554.0027986,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:11:00,1970-01-01 00:28:08.469060,31008.01,31008.01,31008.0,31008.01,3.08545,1970-01-01 00:28:08.469119999,95673.6491727,219,1.55727,48287.8437327,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:10:00,1970-01-01 00:28:08.469000,31014.31,31014.31,31008.0,31008.01,10.02398,1970-01-01 00:28:08.469059999,310850.5543919,335,2.02955,62932.7998129,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:09:00,1970-01-01 00:28:08.468940,31014.24,31014.31,31014.24,31014.3,7.23072,1970-01-01 00:28:08.468999999,224255.3777151,261,2.19365,68034.4201161,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:08:00,1970-01-01 00:28:08.468880,31011.37,31014.25,31011.37,31014.25,8.60111,1970-01-01 00:28:08.468939999,266734.667339,336,7.3221,227070.0133866,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:07:00,1970-01-01 00:28:08.468820,31011.37,31011.38,31011.37,31011.37,4.38656,1970-01-01 00:28:08.468879999,136033.2526699,225,1.74827,54216.2653126,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:06:00,1970-01-01 00:28:08.468760,31011.38,31011.38,31011.37,31011.38,9.85121,1970-01-01 00:28:08.468819999,305499.5857805,344,6.75228,209397.5209464,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:05:00,1970-01-01 00:28:08.468700,31014.46,31014.46,31011.37,31011.37,11.09063,1970-01-01 00:28:08.468759999,343952.2860525,304,6.09559,189039.3269083,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:04:00,1970-01-01 00:28:08.468640,31022.52,31022.53,31014.45,31014.45,6.95258,1970-01-01 00:28:08.468699999,215649.0768345,334,1.38579,42980.6428772,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:03:00,1970-01-01 00:28:08.468580,31022.52,31022.53,31022.52,31022.52,6.8672,1970-01-01 00:28:08.468639999,213037.9115482,339,6.22042,192973.1660626,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:02:00,1970-01-01 00:28:08.468520,31022.52,31022.53,31022.52,31022.53,4.34217,1970-01-01 00:28:08.468579999,134705.082124,261,2.64556,82071.9644668,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:01:00,1970-01-01 00:28:08.468460,31024.32,31024.32,31022.52,31022.52,5.93816,1970-01-01 00:28:08.468519999,184220.6476428,309,0.56604,17560.1974533,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:00:00,1970-01-01 00:28:08.468400,31025.63,31025.64,31024.31,31024.32,5.39837,1970-01-01 00:28:08.468459999,167486.1604913,260,0.59522,18466.9560672,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:59:00,1970-01-01 00:28:08.468340,31020.0,31025.64,31020.0,31025.64,8.02858,1970-01-01 00:28:08.468399999,249062.0253927,351,5.5934,173517.0021486,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:58:00,1970-01-01 00:28:08.468280,31031.83,31031.84,31020.0,31020.0,18.87769,1970-01-01 00:28:08.468339999,585688.1611156,431,5.89844,182981.1845931,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:57:00,1970-01-01 00:28:08.468220,31038.0,31038.01,31030.25,31031.83,14.27066,1970-01-01 00:28:08.468279999,442859.4588648,445,1.56599,48595.3002834,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:56:00,1970-01-01 00:28:08.468160,31039.09,31049.21,31038.0,31038.01,18.03465,1970-01-01 00:28:08.468219999,559820.5446075,629,7.05864,219099.9016827,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:55:00,1970-01-01 00:28:08.468100,31036.83,31040.78,31036.83,31039.09,17.24294,1970-01-01 00:28:08.468159999,535206.1826148,443,10.05178,311988.2853956,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:54:00,1970-01-01 00:28:08.468040,31045.99,31046.0,31036.83,31036.84,19.79255,1970-01-01 00:28:08.468099999,614418.758831,424,2.47773,76921.2237582,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:53:00,1970-01-01 00:28:08.467980,31046.0,31046.0,31044.0,31045.99,9.43131,1970-01-01 00:28:08.468039999,292797.7957802,300,4.77663,148291.0963517,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:52:00,1970-01-01 00:28:08.467920,31045.99,31046.0,31045.99,31046.0,4.45313,1970-01-01 00:28:08.467979999,138251.8614442,242,3.19955,99333.2293,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:51:00,1970-01-01 00:28:08.467860,31042.16,31050.0,31042.16,31045.99,9.03585,1970-01-01 00:28:08.467919999,280523.3536806,431,6.25498,194183.7111285,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:50:00,1970-01-01 00:28:08.467800,31050.33,31050.34,31042.16,31042.17,10.37807,1970-01-01 00:28:08.467859999,322219.5710182,367,0.76627,23791.2621096,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:49:00,1970-01-01 00:28:08.467740,31051.91,31051.92,31050.33,31050.34,8.1443,1970-01-01 00:28:08.467799999,252893.2726514,348,2.58085,80139.8129652,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:48:00,1970-01-01 00:28:08.467680,31030.26,31051.92,31030.25,31051.91,13.96783,1970-01-01 00:28:08.467739999,433600.6744666,648,12.89421,400268.3948252,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:47:00,1970-01-01 00:28:08.467620,31030.02,31030.26,31030.01,31030.26,10.33157,1970-01-01 00:28:08.467679999,320589.2008448,316,9.57399,297081.373033,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:46:00,1970-01-01 00:28:08.467560,31030.02,31030.02,31030.01,31030.02,3.4372,1970-01-01 00:28:08.467619999,106656.3688669,226,1.84949,57389.7116898,0,2023-07-04 11:37:44.037541,0
